RouteTimeVector;TotalTimeVector;TotalDistanceVector;TotalNodesVector;;;
0.8992419242858887;41.663676500320435;105257;105789;;;
0.7238059043884277;40.85580396652222;105257;105789;;;
0.81770920753479;39.90497899055481;105257;105789;;Caractèristique resaux:;
0.7382113933563232;39.95174717903137;105257;105789;;;descendant: 1.83 Mb
0.7088608741760254;40.76199960708618;105257;105789;;;ascendant : 3.52 mb
0.7580139636993408;43.31633424758911;105257;105789;;;
0.7767040729522705;43.01463723182678;105257;105789;;;
0.7587864398956299;41.61094689369202;105257;105789;;;
0.683844804763794;46.74916410446167;105257;105789;;;
2.5554819107055664;56.542510747909546;105257;105789;;;
1.5220224857330322;54.218220710754395;97057;97521;;;
1.2163870334625244;60.20303130149841;97057;97521;;;
0.6738438606262207;38.121788024902344;97057;97521;;;
0.8708052635192871;38.53638195991516;97057;97521;;;
0.6941847801208496;48.814547538757324;97057;97521;;;
1.1227197647094727;43.428715229034424;97057;97521;;;
0.9391252994537354;54.14667534828186;97057;97521;;;
0.7467443943023682;51.71576118469238;97057;97521;;;
2.6208646297454834;47.34192991256714;97057;97521;;;
1.3422095775604248;49.862770080566406;97057;97521;;;
3.3851540088653564;42.46342706680298;89727;90304;;;
0.711301326751709;45.15151906013489;89727;90304;;;
0.7189381122589111;37.42968201637268;89727;90304;;;
0.7521600723266602;39.449092626571655;89727;90304;;;
1.3988196849822998;43.0314154624939;89727;90304;;;
5.387601375579834;51.59887480735779;89727;90304;;;
0.7703702449798584;40.34778547286987;89727;90304;;;
0.7294414043426514;42.59749674797058;89727;90304;;;
0.8044865131378174;46.30034804344177;89727;90304;;;
0.7100577354431152;38.06181979179382;89727;90304;;;
0.883826494216919;31.10959792137146;68284;68629;;;
0.6127214431762695;30.83425211906433;68284;68629;;;
0.6814117431640625;30.191430807113647;68284;68629;;;
0.7500960826873779;45.68302392959595;68284;68629;;;
0.8284554481506348;27.06128478050232;68284;68629;;;
0.8166890144348145;41.76645612716675;68284;68629;;;
1.0605590343475342;39.17076873779297;68284;68629;;;
1.1325550079345703;32.4222891330719;68284;68629;;;
3.74853253364563;34.82615399360657;68284;68629;;;
0.7447209358215332;31.02765655517578;68284;68629;;;
1.5033764839172363;27.321332693099976;61449;61755;;;
1.421729326248169;28.335330963134766;61449;61755;;;
0.6429946422576904;28.467531442642212;61449;61755;;;
1.6020128726959229;32.24900531768799;61449;61755;;;
1.6763083934783936;29.798237800598145;61449;61755;;;
1.0730457305908203;26.71377944946289;61449;61755;;;
2.342196464538574;27.63801383972168;61449;61755;;;
0.7096478939056396;35.216574907302856;61449;61755;;;
0.647183895111084;27.71173119544983;61449;61755;;;
1.7020952701568604;38.07586717605591;61449;61755;;;
1.3440008163452148;31.524388790130615;50735;51110;;;
1.5516443252563477;33.953845500946045;50735;51110;;;
1.388958215713501;26.48274517059326;50735;51110;;;
0.7644398212432861;26.18109941482544;50735;51110;;;
0.8336677551269531;27.70484972000122;50735;51110;;;
0.8650655746459961;25.126697301864624;50735;51110;;;
0.7978377342224121;28.857282638549805;50735;51110;;;
0.7565758228302002;29.387559175491333;50735;51110;;;
0.7500288486480713;37.18463635444641;50735;51110;;;
0.6778221130371094;27.91900634765625;50735;51110;;;
1.4687268733978271;33.06809067726135;47076;47360;;;
0.7688918113708496;29.12862229347229;47076;47360;;;
1.1745645999908447;25.440840244293213;47076;47360;;;
0.893294095993042;25.31378173828125;47076;47360;;;
0.643101692199707;24.642690658569336;47076;47360;;;
1.6550090312957764;25.685736894607544;47076;47360;;;
0.7396914958953857;27.038383722305298;47076;47360;;;
1.7021758556365967;29.732403993606567;47076;47360;;;
0.8129744529724121;27.271539449691772;47076;47360;;;
0.7062392234802246;24.450315475463867;47076;47360;;;
1.1888742446899414;19.25693941116333;38017;38315;;;
0.9838712215423584;17.361660718917847;38017;38315;;;
1.5163578987121582;21.642296075820923;38017;38315;;;
0.6845741271972656;21.465890407562256;38017;38315;;;
2.3275887966156006;21.337515115737915;38017;38315;;;
1.3601515293121338;19.843528270721436;38017;38315;;;
1.2542991638183594;20.133421182632446;38017;38315;;;
0.6476120948791504;18.254594087600708;38017;38315;;;
0.8332674503326416;43.42498970031738;38017;38315;;;
1.393371820449829;22.973503589630127;38017;38315;;;
1.9175920486450195;15.772541284561157;25927;26116;;;
1.6502277851104736;15.688419103622437;25927;26116;;;
1.918989658355713;15.65996789932251;25927;26116;;;
2.285303831100464;16.266716241836548;25927;26116;;;
1.5279896259307861;14.387269735336304;25927;26116;;;
2.2983992099761963;15.225553750991821;25927;26116;;;
0.6590917110443115;16.83300542831421;25927;26116;;;
0.6830220222473145;17.261022329330444;25927;26116;;;
0.6422398090362549;12.639827728271484;25927;26116;;;
0.8508224487304688;11.86556887626648;25927;26116;;;
1.0121970176696777;7.933630704879761;15713;15868;;;
0.9359047412872314;7.364030361175537;15713;15868;;;
0.7973346710205078;7.216763019561768;15713;15868;;;
0.6886982917785645;7.253268480300903;15713;15868;;;
0.6306006908416748;7.219372272491455;15713;15868;;;
0.6456272602081299;7.705958366394043;15713;15868;;;
0.7849855422973633;7.938051700592041;15713;15868;;;
0.5999855995178223;6.51270318031311;15713;15868;;;
0.7155935764312744;6.9688286781311035;15713;15868;;;
0.5980494022369385;7.016868829727173;15713;15868;;;
